Product Name,Original Price,Discounted Price
"CPU INTEL CORE ULTRA 9 285K (UP 5.7 GHZ, 24 NHÂN 24 LUỒNG, ARROW LAKE-S)",17.490.000Đ,14.590.000Đ
"CPU INTEL CORE ULTRA 7 265K (UP 5.5GHZ, 20 NHÂN 20 LUỒNG, ARROW LAKE-S)",11.790.000Đ,8.990.000Đ
"CPU INTEL CORE ULTRA 5 245K (14 NHÂN 14 LUỒNG, ARROW LAKE-S)",8.990.000Đ,6.990.000Đ
"CPU INTEL CORE I9 13900K (5.80GHZ, 24 NHÂN 32 LUỒNG, 36M CACHE, RAPTOR LAKE)",16.490.000Đ,8.990.000Đ
CPU AMD RYZEN 9 5950X (16 NHÂN / 32 LUỒNG | 3.4GHZ BOOST 4.9GHZ | 72MB CACHE | PCIE 4.0),17.990.000Đ,7.490.000Đ
"CPU AMD RYZEN 5 4500 (3,6 GHZ BOOST 4,1 GHZ | 6 CORES / 12 THREADS | 8MB CACHE| PCIE 3.0)",2.990.000Đ,1.490.000Đ
CPU AMD RYZEN 9 5900X (12 NHÂN / 24 LUỒNG | 3.7GHZ BOOST 4.8GHZ | 64MB CACHE | PCIE 4.0),15.600.000Đ,6.990.000Đ
CPU AMD RYZEN 5 4600G (3.7GHZ BOOST 4.2GHZ / 6 NHÂN 12 LUỒNG / 11MB / AM4),3.190.000Đ,2.150.000Đ
"CPU AMD RYZEN 5 5500 (3,6 GHZ BOOST 4,2 GHZ | 6 CORES / 12 THREADS | 16 MB CACHE| PCIE 3.0)",4.990.000Đ,1.990.000Đ
"CPU INTEL CORE ULTRA 9 285K (UP 5.7 GHZ, 24 NHÂN 24 LUỒNG, ARROW LAKE-S)",17.490.000Đ,14.590.000Đ
"CPU INTEL CORE ULTRA 5 245K (14 NHÂN 14 LUỒNG, ARROW LAKE-S)",8.990.000Đ,6.990.000Đ
"CPU INTEL CORE ULTRA 7 265K (UP 5.5GHZ, 20 NHÂN 20 LUỒNG, ARROW LAKE-S)",11.790.000Đ,8.990.000Đ
CPU INTEL CORE I7-12700KF (3.8GHZ TURBO 5.0GHZ | 12 NHÂN 20 LUỒNG | 25MB CACHE | 125W),10.590.000Đ,4.500.000Đ
"CPU INTEL CORE I7-13700KF (UP TO 5.40GHZ, 16 NHÂN 24 LUỒNG, 30M CACHE, RAPTOR LAKE)",13.990.000Đ,6.600.000Đ
"CPU INTEL CORE I9 13900K (5.80GHZ, 24 NHÂN 32 LUỒNG, 36M CACHE, RAPTOR LAKE)",16.490.000Đ,8.990.000Đ
CPU INTEL CORE I9-12900KF (3.9GHZ TURBO 5.2GHZ | 16 NHÂN 24 LUỒNG | 30MB CACHE | 125W),8.900.000Đ,6.500.000Đ
CPU AMD RYZEN 9 5950X (16 NHÂN / 32 LUỒNG | 3.4GHZ BOOST 4.9GHZ | 72MB CACHE | PCIE 4.0),17.990.000Đ,7.490.000Đ
"CPU INTEL CORE I5 13600K (3.50 GHZ, UP TO 5.10GHZ, 14 NHÂN 20 LUỒNG, 24 MB CACHE, RAPTOR LAKE)",8.990.000Đ,4.990.000Đ
"CPU AMD RYZEN 5 4500 (3,6 GHZ BOOST 4,1 GHZ | 6 CORES / 12 THREADS | 8MB CACHE| PCIE 3.0)",2.990.000Đ,1.490.000Đ
CPU AMD RYZEN 5 7500F TRAY NEW CHÍNH HÃNG (3.7 GHZ BOOST 5.0 GHZ | 6 CORES / 12 THREADS | 32 MB CACHE),5.190.000Đ,3.450.000Đ
"CPU AMD RYZEN 5 7600 (3,8 GHZ BOOST 5,1 GHZ | 6 CORES / 12 THREADS | 32 MB CACHE| PCIE 5.0)",7.900.000Đ,3.990.000Đ
CPU AMD RYZEN 9 5900X (12 NHÂN / 24 LUỒNG | 3.7GHZ BOOST 4.8GHZ | 64MB CACHE | PCIE 4.0),15.600.000Đ,6.990.000Đ
"CPU AMD RYZEN 9 7950X TRAY NEW (4,5 GHZ BOOST 5,7 GHZ | 16 CORES / 32 THREADS | 64 MB CACHE| PCIE 5.0)",13.990.000Đ,10.900.000Đ
"CPU AMD RYZEN 5 5500 (3,6 GHZ BOOST 4,2 GHZ | 6 CORES / 12 THREADS | 16 MB CACHE| PCIE 3.0)",4.990.000Đ,1.990.000Đ
CPU AMD RYZEN 5 4600G (3.7GHZ BOOST 4.2GHZ / 6 NHÂN 12 LUỒNG / 11MB / AM4),3.190.000Đ,2.150.000Đ
"CPU AMD RYZEN 9 7950X (4,5 GHZ BOOST 5,7 GHZ | 16 CORES / 32 THREADS | 64 MB CACHE| PCIE 5.0)",15.990.000Đ,12.900.000Đ
BỘ VI XỬ LÝ AMD ATHLON 3000G TRAY ( 3.5GHZ / 2 NHÂN 4 LUỒNG / 5MB / AM4),1.790.000Đ,800.000Đ
"CPU INTEL CORE I7 13700K (UP TO 5.40GHZ, 16 NHÂN 24 LUỒNG, 30M CACHE, RAPTOR LAKE)",11.590.000Đ,6.990.000Đ
"CPU AMD RYZEN 7 5700X (3,4 GHZ BOOST 4,6 GHZ | 8 CORES / 16 THREADS | 32MB CACHE|  PCIE 4.0)",8.600.000Đ,4.190.000Đ
CPU AMD RYZEN 5 5600G (6 NHÂN / 12 LUỒNG | 3.9GHZ BOOST 4.4GHZ | 16MB CACHE | PCIE 3.0 | TDP 65W),6.900.000Đ,2.990.000Đ
CPU AMD RYZEN 9 9950X (4.3 GHZ BOOST 5.7 GHZ | 16 CORES / 32 THREADS | 64 MB CACHE),18.990.000Đ,15.990.000Đ
"CPU INTEL CORE I5-12400F TRAY NEW (UP TO 4.4GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)",3.400.000Đ,1.650.000Đ
"CPU AMD RYZEN 7 7800X3D (4,2 GHZ BOOST 5,0 GHZ | 8 CORES / 16 THREADS | 96 MB CACHE| PCIE 5.0)",11.900.000Đ,9.990.000Đ
"CPU INTEL CORE I5-12600KF TRAY (20M CACHE, UP TO 4.90 GHZ, 10C16T, SOCKET 1700)",7.200.000Đ,2.990.000Đ
"CPU INTEL CORE I7 13700K (UP TO 5.40GHZ, 16 NHÂN 24 LUỒNG, 30M CACHE, RAPTOR LAKE) - TRAY NEW",10.490.000Đ,6.990.000Đ
CPU INTEL CORE I7-12700K (3.8GHZ TURBO 5.0GHZ | 12 NHÂN 20 LUỒNG | 25MB CACHE | 125W),7.390.000Đ,4.990.000Đ
"CPU INTEL CORE ULTRA 9 285K (UP 5.7 GHZ, 24 NHÂN 24 LUỒNG, ARROW LAKE-S)",17.490.000Đ,14.590.000Đ
"CPU INTEL CORE ULTRA 7 265K (UP 5.5GHZ, 20 NHÂN 20 LUỒNG, ARROW LAKE-S)",11.790.000Đ,8.990.000Đ
"CPU INTEL CORE ULTRA 5 245K (14 NHÂN 14 LUỒNG, ARROW LAKE-S)",8.990.000Đ,6.990.000Đ
"CPU INTEL CORE I9 13900K (5.80GHZ, 24 NHÂN 32 LUỒNG, 36M CACHE, RAPTOR LAKE)",16.490.000Đ,8.990.000Đ
CPU AMD RYZEN 9 5950X (16 NHÂN / 32 LUỒNG | 3.4GHZ BOOST 4.9GHZ | 72MB CACHE | PCIE 4.0),17.990.000Đ,7.490.000Đ
"CPU AMD RYZEN 5 4500 (3,6 GHZ BOOST 4,1 GHZ | 6 CORES / 12 THREADS | 8MB CACHE| PCIE 3.0)",2.990.000Đ,1.490.000Đ
CPU AMD RYZEN 9 5900X (12 NHÂN / 24 LUỒNG | 3.7GHZ BOOST 4.8GHZ | 64MB CACHE | PCIE 4.0),15.600.000Đ,6.990.000Đ
"CPU AMD RYZEN 9 7950X (4,5 GHZ BOOST 5,7 GHZ | 16 CORES / 32 THREADS | 64 MB CACHE| PCIE 5.0)",15.990.000Đ,12.900.000Đ
CPU AMD RYZEN 5 4600G (3.7GHZ BOOST 4.2GHZ / 6 NHÂN 12 LUỒNG / 11MB / AM4),3.190.000Đ,2.150.000Đ
"CPU INTEL CORE I5-12400F (UPTO 4.4GHZ, 6 NHÂN 12 LUỒNG, 18MB CACHE, 65W) - SOCKET INTEL LGA 1700)",5.599.000Đ,2.490.000Đ
CPU AMD RYZEN 7 5800X (8 NHÂN / 16 LUỒNG | 3.8GHZ BOOST 4.7GHZ | 32MB CACHE | PCIE 4.0),9.900.000Đ,4.990.000Đ
"CPU AMD RYZEN 9 7900X3D (4,4 GHZ BOOST 5,6 GHZ | 12 CORES / 24 THREADS | 128 MB CACHE| PCIE 5.0)",16.900.000Đ,11.500.000Đ
"CPU INTEL CORE I9 14900KF (UP 6.0 GHZ, 24 NHÂN 32 LUỒNG, 36MB CACHE, RAPTOR LAKE REFRESH)",15.990.000Đ,9.990.000Đ
"INTEL XEON E5-2699 V3 (2.3 GHZ, 45 MB, 18C/36T, 145 W, LGA 2011-3)",18.500.000Đ,1.690.000Đ
"CPU INTEL CORE I3 13100 (3.42GHZ TURBO UPTO 4.5GHZ, 4 NHÂN 8 LUỒNG, CACHE 12MB, SOCKET LGA 1700)",4.750.000Đ,3.490.000Đ
CPU INTEL XEON PROCESSOR E5-2699 V4,9.990.000Đ,4.990.000Đ
CPU INTEL CORE I5-12600K (3.7GHZ TURBO 4.9GHZ |10 NHÂN 16 LUỒNG | 20MB CACHE | 125W),5.990.000Đ,3.990.000Đ
"CPU INTEL CORE I3 12100 (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE)",3.790.000Đ,2.690.000Đ
"CPU INTEL CORE I5-13400 TRAY (UP TO 4.60GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, LGA 1700)",7.150.000Đ,3.690.000Đ
"CPU INTEL XEON PLATINUM 8168 ( 2.7GHZ TURBO UP TO 3.7GHZ, 24 NHÂN, 48 LUỒNG, 33MB CACHE)",50.900.000Đ,11.990.000Đ
"CPU INTEL CORE I3 12100F TRAY NEW (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE)",2.990.000Đ,1.390.000Đ
"CPU AMD RYZEN 7 7700X (4,5 GHZ BOOST 5,4 GHZ | 8 CORES / 16 THREADS | 32 MB CACHE| PCIE 5.0)",10.990.000Đ,7.890.000Đ
CPU INTEL CORE I3 13100F (UP TO 4.5 GHZ / 4 NHÂN/ 8 LUỒNG/ SOCKET 1700),3.650.000Đ,2.890.000Đ
CPU INTEL XEON PLATINUM 8163,29.900.000Đ,12.990.000Đ
CPU INTEL XEON PROCESSOR E5-2678 V3 (2.50 TURBO 3.1GHZ / 12CORES / 24 THREAD),690.000Đ,590.000Đ
CPU INTEL CORE I9 14900F (RAPTOR LAKE REFRESH),15.650.000Đ,14.890.000Đ
"CPU INTEL CORE I9 -13900 (36M CACHE, UP TO 5.50GHZ, 24C32T, SOCKET 1700)",19.990.000Đ,15.500.000Đ
"CPU AMD RYZEN THREADRIPPER PRO 5995WX (2.7 GHZ BOOST 4,5 GHZ | 64 CORES / 128 THREADS | 292 MB CACHE| PCIE 4.0)",181.990.000Đ,169.000.000Đ
"CPU AMD RYZEN 5 7600X (4,7 GHZ BOOST 5,3 GHZ | 6 CORES / 12 THREADS | 32 MB CACHE| PCIE 5.0)",8.900.000Đ,4.990.000Đ
"CPU INTEL CORE ULTRA 9 285K (UP 5.7 GHZ, 24 NHÂN 24 LUỒNG, ARROW LAKE-S)",17.490.000Đ,14.590.000Đ
"CPU INTEL CORE ULTRA 7 265K (UP 5.5GHZ, 20 NHÂN 20 LUỒNG, ARROW LAKE-S)",11.790.000Đ,8.990.000Đ
"CPU INTEL CORE ULTRA 5 245K (14 NHÂN 14 LUỒNG, ARROW LAKE-S)",8.990.000Đ,6.990.000Đ
"CPU INTEL CORE I9 13900K (5.80GHZ, 24 NHÂN 32 LUỒNG, 36M CACHE, RAPTOR LAKE)",16.490.000Đ,8.990.000Đ
CPU AMD RYZEN 9 5950X (16 NHÂN / 32 LUỒNG | 3.4GHZ BOOST 4.9GHZ | 72MB CACHE | PCIE 4.0),17.990.000Đ,7.490.000Đ
"CPU AMD RYZEN 5 4500 (3,6 GHZ BOOST 4,1 GHZ | 6 CORES / 12 THREADS | 8MB CACHE| PCIE 3.0)",2.990.000Đ,1.490.000Đ
CPU AMD RYZEN 9 5900X (12 NHÂN / 24 LUỒNG | 3.7GHZ BOOST 4.8GHZ | 64MB CACHE | PCIE 4.0),15.600.000Đ,6.990.000Đ
"CPU AMD RYZEN 9 7950X (4,5 GHZ BOOST 5,7 GHZ | 16 CORES / 32 THREADS | 64 MB CACHE| PCIE 5.0)",15.990.000Đ,12.900.000Đ
CPU AMD RYZEN 5 4600G (3.7GHZ BOOST 4.2GHZ / 6 NHÂN 12 LUỒNG / 11MB / AM4),3.190.000Đ,2.150.000Đ
"CPU INTEL XEON GOLD 6148 (2.40GHZ / 27.5MB / 20 CORES, 40 THREADS / LGA3647)",6.990.000Đ,4.990.000Đ
CPU AMD RYZEN 5 9600X (3.9 GHZ BOOST 5.4 GHZ | 6 CORES / 12 THREADS | 32 MB CACHE),8.990.000Đ,6.990.000Đ
"CPU INTEL CORE I9-13900F (36M CACHE, UP TO 5.50GHZ, 24C32T, SOCKET 1700)",16.990.000Đ,14.600.000Đ
CPU INTEL CORE I3-10105F TRAY NEW  (3.7GHZ TURBO 4.4GHZ | 4 NHÂN 8 LUỒNG | 6MB CACHE | 65W),2.400.000Đ,890.000Đ
"INTEL XEON E5-2699 V3 (2.3 GHZ, 45 MB, 18C/36T, 145 W, LGA 2011-3)",18.500.000Đ,1.690.000Đ
"CPU INTEL CORE I3 13100 (3.42GHZ TURBO UPTO 4.5GHZ, 4 NHÂN 8 LUỒNG, CACHE 12MB, SOCKET LGA 1700)",4.750.000Đ,3.490.000Đ
CPU INTEL XEON PROCESSOR E5-2699 V4,9.990.000Đ,4.990.000Đ
CPU INTEL CORE I5-12600K (3.7GHZ TURBO 4.9GHZ |10 NHÂN 16 LUỒNG | 20MB CACHE | 125W),5.990.000Đ,3.990.000Đ
"CPU INTEL CORE I3 12100 (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE)",3.790.000Đ,2.690.000Đ
"CPU INTEL CORE I5-13400 TRAY (UP TO 4.60GHZ, 10 NHÂN 16 LUỒNG, 20MB CACHE, LGA 1700)",7.150.000Đ,3.690.000Đ
"CPU INTEL XEON PLATINUM 8168 ( 2.7GHZ TURBO UP TO 3.7GHZ, 24 NHÂN, 48 LUỒNG, 33MB CACHE)",50.900.000Đ,11.990.000Đ
"CPU INTEL CORE I3 12100F TRAY NEW (3.3GHZ TURBO UP TO 4.3GHZ, 4 NHÂN 8 LUỒNG, 12MB CACHE)",2.990.000Đ,1.390.000Đ
"CPU AMD RYZEN 7 7700X (4,5 GHZ BOOST 5,4 GHZ | 8 CORES / 16 THREADS | 32 MB CACHE| PCIE 5.0)",10.990.000Đ,7.890.000Đ
CPU INTEL CORE I3 13100F (UP TO 4.5 GHZ / 4 NHÂN/ 8 LUỒNG/ SOCKET 1700),3.650.000Đ,2.890.000Đ
CPU INTEL XEON PLATINUM 8163,29.900.000Đ,12.990.000Đ
CPU INTEL XEON PROCESSOR E5-2678 V3 (2.50 TURBO 3.1GHZ / 12CORES / 24 THREAD),690.000Đ,590.000Đ
CPU INTEL CORE I9 14900F (RAPTOR LAKE REFRESH),15.650.000Đ,14.890.000Đ
"CPU INTEL CORE I9 -13900 (36M CACHE, UP TO 5.50GHZ, 24C32T, SOCKET 1700)",19.990.000Đ,15.500.000Đ
