Product Name,Original Price HaComp,Discounted Price HaComp,Original Price AnPhat,Discounted Price AnPhat,Original Price NguyenCongPC,Discounted Price NguyenCongPC,Score,Normalized Score (%)
BỘ VI XỬ LÝ AMD ATHLON 3000G TRAY,,,,,1.790.000Đ,800.000Đ,,
CPU AMD ATHLON 3000G,1.699.000₫,1.219.000₫,,,,,,
CPU AMD RYZEN 3 3200G,3.299.000₫,1.899.000₫,,,3.450.000Đ,2.200.000Đ,,
CPU AMD RYZEN 3 4100,2.499.000₫,1.779.000₫,,,,,,
CPU AMD RYZEN 3 4100 3.8 GHZ,,,2.499.000,1.669.000,,,,
CPU AMD RYZEN 3 4300G,2.899.000₫,2.479.000₫,2.999.000,2.479.000,2.990.000Đ,2.090.000Đ,,
CPU AMD RYZEN 5 3600,,,,,5.550.000Đ,3.990.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4500,3.899.000₫,2.029.000₫,,,2.990.000Đ,1.490.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 4600G,3.099.000₫,2.699.000₫,3.099.000,2.699.000,3.190.000Đ,2.150.000Đ,,
CPU AMD RYZEN 5 5500,3.999.000₫,2.099.000₫,,,4.990.000Đ,1.990.000Đ,,
CPU AMD RYZEN 5 5500,3.999.000₫,2.099.000₫,,,4.990.000Đ,1.990.000Đ,,
CPU AMD RYZEN 5 5500,3.999.000₫,2.099.000₫,,,4.990.000Đ,1.990.000Đ,,
CPU AMD RYZEN 5 5500,3.999.000₫,2.099.000₫,,,4.990.000Đ,1.990.000Đ,,
CPU AMD RYZEN 5 5500GT,3.999.000₫,3.149.000₫,,,4.490.000Đ,3.750.000Đ,,
CPU AMD RYZEN 5 5600,4.999.000₫,2.759.000₫,5.499.000,2.759.000,5.990.000Đ,3.490.000Đ,,
CPU AMD RYZEN 5 5600,4.999.000₫,2.759.000₫,5.499.000,2.759.000,5.990.000Đ,3.490.000Đ,,
CPU AMD RYZEN 5 5600G,4.599.000₫,3.449.000₫,5.399.000,3.449.000,6.900.000Đ,2.990.000Đ,,
CPU AMD RYZEN 5 5600GT,4.999.000₫,3.449.000₫,,,4.290.000Đ,3.890.000Đ,,
CPU AMD RYZEN 5 5600GT,4.999.000₫,3.449.000₫,,,4.290.000Đ,3.890.000Đ,,
CPU AMD RYZEN 5 5600X,7.299.000₫,3.499.000₫,8.499.000,3.499.000,,,,
CPU AMD RYZEN 5 7500F,,,5.799.000,4.349.000,,,,
CPU AMD RYZEN 5 7500F TRAY NEW CHÍNH HÃNG,,,,,5.190.000Đ,3.450.000Đ,,
CPU AMD RYZEN 5 7600,8.999.000₫,5.290.000₫,6.999.000,5.249.000,7.900.000Đ,3.990.000Đ,,
CPU AMD RYZEN 5 7600,8.999.000₫,5.290.000₫,6.999.000,5.249.000,7.900.000Đ,3.990.000Đ,,
CPU AMD RYZEN 5 7600X,8.199.000₫,6.099.000₫,9.999.000,6.099.000,8.900.000Đ,4.990.000Đ,,
CPU AMD RYZEN 5 7600X,8.199.000₫,6.099.000₫,9.999.000,6.099.000,8.900.000Đ,4.990.000Đ,,
CPU AMD RYZEN 5 8500G,5.999.000₫,4.149.000₫,5.999.000,4.149.000,,,,
CPU AMD RYZEN 5 8600G,7.599.000₫,5.290.000₫,7.999.000,5.289.000,,,,
CPU AMD RYZEN 5 8600G,7.599.000₫,5.290.000₫,7.999.000,5.289.000,,,,
CPU AMD RYZEN 5 9600X,8.999.000₫,7.899.000₫,8.899.000,7.099.000,8.990.000Đ,6.990.000Đ,,
CPU AMD RYZEN 5 PRO 4650G MPK,,,,,4.299.000Đ,2.900.000Đ,,
CPU AMD RYZEN 5 PRO 4650G MPK,,,,,4.299.000Đ,2.900.000Đ,,
CPU AMD RYZEN 7 5700,5.899.000₫,4.899.000₫,5.999.000,4.899.000,5.590.000Đ,4.790.000Đ,,
CPU AMD RYZEN 7 5700,5.899.000₫,4.899.000₫,5.999.000,4.899.000,5.590.000Đ,4.790.000Đ,,
CPU AMD RYZEN 7 5700G,0,0,9.990.000,4.999.000,,,,
CPU AMD RYZEN 7 5700G,9.099.000₫,4.999.000₫,9.990.000,4.999.000,,,,
CPU AMD RYZEN 7 5700X,7.599.000₫,4.499.000₫,7.999.000,4.249.000,8.600.000Đ,4.190.000Đ,,
CPU AMD RYZEN 7 5700X3D,7.899.000₫,6.499.000₫,7.999.000,6.499.000,7.990.000Đ,6.390.000Đ,,
CPU AMD RYZEN 7 5700X3D,7.899.000₫,6.499.000₫,7.999.000,6.499.000,7.990.000Đ,6.390.000Đ,,
CPU AMD RYZEN 7 5800X,,,,,9.900.000Đ,4.990.000Đ,,
CPU AMD RYZEN 7 5800X3D,10.999.000₫,8.599.000₫,,,12.400.000Đ,9.450.000Đ,,
CPU AMD RYZEN 7 5800X3D,10.999.000₫,8.599.000₫,,,12.400.000Đ,9.450.000Đ,,
CPU AMD RYZEN 7 5800XT,7.999.000₫,7.299.000₫,,,,,,
CPU AMD RYZEN 7 7700,10.899.000₫,8.899.000₫,9.999.000,8.099.000,9.900.000Đ,9.250.000Đ,,
CPU AMD RYZEN 7 7700,0,8.899.000₫,9.999.000,8.099.000,9.900.000Đ,9.250.000Đ,,
CPU AMD RYZEN 7 7700X,10.999.000₫,9.299.000₫,10.999.000,8.699.000,10.990.000Đ,7.890.000Đ,,
CPU AMD RYZEN 7 7700X,10.999.000₫,9.299.000₫,10.999.000,8.699.000,10.990.000Đ,7.890.000Đ,,
CPU AMD RYZEN 7 7800X3D,,,,,11.900.000Đ,9.990.000Đ,,
CPU AMD RYZEN 7 8700G,10.999.000₫,7.699.000₫,12.999.000,7.699.000,9.990.000Đ,9.190.000Đ,,
CPU AMD RYZEN 7 9700X,10.999.000₫,10.199.000₫,11.299.000,10.199.000,,,,
CPU AMD RYZEN 7 9800X3D,14.999.000₫,14.599.000₫,16.499.000,14.599.000,,,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900X,14.499.000₫,8.599.000₫,9.299.000,8.399.000,15.600.000Đ,6.990.000Đ,,
CPU AMD RYZEN 9 5900XT,10.999.000₫,10.299.000₫,,,,,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 5950X,19.999.000₫,10.599.000₫,,,17.990.000Đ,7.490.000Đ,,
CPU AMD RYZEN 9 7900,13.799.000₫,10.499.000₫,12.999.000,9.899.000,12.700.000Đ,11.190.000Đ,,
CPU AMD RYZEN 9 7900X,14.299.000₫,10.999.000₫,15.999.000,10.299.000,13.900.000Đ,8.390.000Đ,,
CPU AMD RYZEN 9 7900X,14.299.000₫,10.999.000₫,15.999.000,10.299.000,13.900.000Đ,8.390.000Đ,,
CPU AMD RYZEN 9 7900X3D,17.999.000₫,13.599.000₫,,,16.900.000Đ,11.500.000Đ,,
CPU AMD RYZEN 9 7900X3D 4.4 GHZ,,,19.999.000,13.699.000,,,,
CPU AMD RYZEN 9 7950X,18.399.000₫,15.199.000₫,20.000.000,14.499.000,15.990.000Đ,12.900.000Đ,,
CPU AMD RYZEN 9 7950X,18.399.000₫,15.199.000₫,20.000.000,14.499.000,15.990.000Đ,12.900.000Đ,,
CPU AMD RYZEN 9 7950X,18.399.000₫,15.199.000₫,20.000.000,14.499.000,15.990.000Đ,12.900.000Đ,,
CPU AMD RYZEN 9 7950X,18.399.000₫,15.199.000₫,20.000.000,14.499.000,15.990.000Đ,12.900.000Đ,,
CPU AMD RYZEN 9 7950X TRAY NEW,,,,,13.990.000Đ,10.900.000Đ,,
CPU AMD RYZEN 9 7950X3D,20.599.000₫,17.999.000₫,,,19.600.000Đ,17.900.000Đ,,
CPU AMD RYZEN 9 7950X3D 4.2 GHZ,,,21.999.000,17.999.000,,,,
CPU AMD RYZEN 9 9900X,13.999.000₫,12.699.000₫,14.399.000,12.699.000,13.790.000Đ,10.990.000Đ,,
CPU AMD RYZEN 9 9900X,13.999.000₫,12.699.000₫,14.399.000,12.699.000,13.790.000Đ,10.990.000Đ,,
CPU AMD RYZEN 9 9950X,19.599.000₫,18.199.000₫,20.299.000,18.199.000,18.990.000Đ,15.990.000Đ,,
CPU AMD RYZEN 9 9950X,19.599.000₫,18.199.000₫,20.299.000,18.199.000,18.990.000Đ,15.990.000Đ,,
CPU AMD RYZEN RYZEN 5 7500F,8.599.000₫,4.699.000₫,,,,,,
CPU AMD RYZEN RYZEN 5 8400F,5.899.000₫,4.499.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER 3990X,,,,,102.900.000Đ,95.900.000Đ,,
CPU AMD RYZEN THREADRIPPER 7960X,0,42.999.000₫,49.999.000,41.899.000,43.000.000Đ,38.990.000Đ,,
CPU AMD RYZEN THREADRIPPER 7960X,0,42.999.000₫,49.999.000,41.899.000,43.000.000Đ,38.990.000Đ,,
CPU AMD RYZEN THREADRIPPER 7970X,0,71.999.000₫,74.999.000,70.899.000,72.500.000Đ,70.000.000Đ,,
CPU AMD RYZEN THREADRIPPER 7980X,0,142.799.000₫,179.999.000,141.899.000,,,,
CPU AMD RYZEN THREADRIPPER 7980X,0,142.799.000₫,179.999.000,141.899.000,,,,
CPU AMD RYZEN THREADRIPPER PRO 3955WX,0,29.899.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER PRO 3975WX,0,71.899.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER PRO 3995WX,0,140.799.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER PRO 5965WX,75.999.000₫,66.599.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER PRO 5975WX,99.000.000₫,91.999.000₫,,,,,,
CPU AMD RYZEN THREADRIPPER PRO 5995WX,199.999.000₫,181.999.000₫,,,181.990.000Đ,169.000.000Đ,,
CPU AMD RYZEN THREADRIPPER PRO 5995WX,199.999.000₫,181.999.000₫,,,181.990.000Đ,169.000.000Đ,,
CPU AMD RYZEN THREADRIPPER PRO 7965WX,0,76.599.000₫,89.999.000,75.899.000,,,,
CPU AMD RYZEN THREADRIPPER PRO 7965WX,0,76.599.000₫,89.999.000,75.899.000,,,,
CPU AMD RYZEN THREADRIPPER PRO 7975WX,0,110.799.000₫,139.999.000,110.799.000,113.000.000Đ,106.990.000Đ,,
CPU AMD RYZEN THREADRIPPER PRO 7975WX,0,110.799.000₫,139.999.000,110.799.000,113.000.000Đ,106.990.000Đ,,
CPU AMD RYZEN THREADRIPPER PRO 7985WX,,,249.999.000,211.999.000,,,,
CPU AMD RYZEN THREADRIPPER PRO 7995WX,0,292.999.000₫,349.000.000,279.999.000,296.000.000Đ,289.990.000Đ,,
CPU INTEL  PENTIUM GOLD G7400,0,2.299.000₫,,,,,,
CPU INTEL  XEON E5-4640,,,,,2.100.000Đ,600.000Đ,,
CPU INTEL  XEON E5-4640,,,,,2.100.000Đ,600.000Đ,,
CPU INTEL CELERON G5905,,,,,1.590.000Đ,1.190.000Đ,,
CPU INTEL CELERON G6900,0,1.599.000₫,,,,,,
CPU INTEL CORE I3 10105,,,3.099.000,2.599.000,,,,
CPU INTEL CORE I3 10105,,,3.099.000,2.599.000,,,,
CPU INTEL CORE I3 10105F,,,2.299.000,1.599.000,,,,
CPU INTEL CORE I3 12100,,,3.999.000,2.899.000,3.790.000Đ,2.690.000Đ,,
CPU INTEL CORE I3 12100,,,3.999.000,2.899.000,3.790.000Đ,2.690.000Đ,,
CPU INTEL CORE I3 12100F,,,2.999.000,1.999.000,,,,
CPU INTEL CORE I3 12100F,,,2.999.000,1.999.000,,,,
CPU INTEL CORE I3 12100F TRAY NEW,,,,,2.990.000Đ,1.390.000Đ,,
CPU INTEL CORE I3 12100F TRAY NEW,,,,,2.990.000Đ,1.390.000Đ,,
CPU INTEL CORE I3 13100,,,4.599.000,3.199.000,4.750.000Đ,3.490.000Đ,,
CPU INTEL CORE I3 13100,,,4.599.000,3.199.000,4.750.000Đ,3.490.000Đ,,
CPU INTEL CORE I3 13100F,,,3.499.000,2.649.000,3.650.000Đ,2.890.000Đ,,
CPU INTEL CORE I3 13100F,,,3.499.000,2.649.000,3.650.000Đ,2.890.000Đ,,
CPU INTEL CORE I3 13100F,,,3.499.000,2.649.000,3.650.000Đ,2.890.000Đ,,
CPU INTEL CORE I3 13100F,,,3.499.000,2.649.000,3.650.000Đ,2.890.000Đ,,
CPU INTEL CORE I3 14100,,,4.999.000,3.299.000,,,,
CPU INTEL CORE I3 14100F,,,3.999.000,2.699.000,,,,
CPU INTEL CORE I3-10100,0,2.599.000₫,3.399.000,2.599.000,,,,
CPU INTEL CORE I3-10100,0,2.599.000₫,3.399.000,2.599.000,,,,
CPU INTEL CORE I3-10105,3.199.000₫,2.499.000₫,,,,,,
CPU INTEL CORE I3-10105,3.299.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.549.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.549.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,2.299.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,2.299.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F,1.899.000₫,1.699.000₫,,,2.400.000Đ,1.350.000Đ,,
CPU INTEL CORE I3-10105F TRAY NEW,,,,,2.400.000Đ,890.000Đ,,
CPU INTEL CORE I3-12100,3.399.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-12100,3.799.000₫,2.899.000₫,,,,,,
CPU INTEL CORE I3-12100,3.399.000₫,2.599.000₫,,,,,,
CPU INTEL CORE I3-12100F,2.799.000₫,1.499.000₫,,,,,,
CPU INTEL CORE I3-12100F,2.799.000₫,1.799.000₫,,,,,,
